nama_toko,lokasi_seller,url_toko,rating_toko,jumlah_produk,kategori_dijual,contoh_produk
GOOJODOQ,Kab. Gresik,https://www.lazada.co.id/goojodoq-123396203/?type=brand,-,2,Elektronik,"GOOJODOQ High Speed Mini kipas Strong Wind 100 Gear Wind Speed kipas angin Digital Display Adjustable Turbo kipas tangan untuk olahraga luar ruangan dan pendinginan cepat
Rp221.421 | GOOJODOQ × nailoong GFS002 Kipas senter/ 4000mAh High-speed kipas 100 Gear Wind kipas angin Digital Display Adjustable Turbo kipas tangan
Rp229.500"
MAMA,Kab. Gresik,https://www.lazada.co.id/mama/?type=brand,-,2,Lainnya | Rumah Tangga,"[Paket isi 3] MAMA Lemon Jeruk Nipis 950ml
Rp26.400 | Mama Lemon Sabun Cuci Piring Jeruk Nipis 6x680ml Pouch
Rp42.600"
Bioré,Kab. Gresik,https://www.lazada.co.id/biore/?type=brand,-,2,Lainnya,"Biore Bright Sabun Mandi Cair Body Foam Lovely Sakura Pouch 800ml x4
Rp120.100 | Biore Guard Sabun Mandi Antibakteri 3x800ml Lemongrass
Rp87.200"
SKINTIFIC,Kab. Gresik,https://www.lazada.co.id/skintific-124150617/?type=brand,-,2,Kecantikan,"Skintific Official-Cover Glow Perfect Pink Cushion Cover lmperfection Just One Tap Full Coverage Radiance Glow Antioxidation Flawless Long-lasting bedak padat Foundation skin tint bb cream make up tin | SKINTIFIC Matte Fit Serum Sunscreen 50ml SPF 50+ PA++++
Rp93.000"
Nilai Toko 98%,Kab. Gresik,,-,2,Ibu & Bayi | Lainnya,"Ultra Mimi Susu UHT Cokelat 125ml isi 40 pcs [Karton]
Rp124.900 | [Paket isi 3] JOHNSON'S Milk + Rice Hair & Body Baby Bath 2in1 Refill 375ml
Rp81.100"
Sanken,Kab. Gresik,https://www.lazada.co.id/sanken/?type=brand,-,2,Lainnya,"SANKEN Mesin Cuci Dua Tabung / Semi Auto 8 Kg TW-880 MR /NM (Maroon)
Rp1.498.999 | Sanken Mesin Cuci 2 Dua Tabung TW-882GY Twin Tub 9Kg Silver
Rp1.598.999"
So Klin,Kab. Gresik,https://www.lazada.co.id/so-klin/?type=brand,-,2,Lainnya,"So Klin Deterjen Cair Violet Blossom 2x1.65kg
Rp54.900 | [Paket isi 2] SOKLIN Deterjen Cair Red 1600ML
Rp54.300"
SANQI ELAN,Kab. Gresik,https://www.lazada.co.id/sanqi-elan/?type=brand,-,2,Handphone & Aksesoris | Lainnya,"FR-K195 Tempat Bedak Tabur Puff dengan Cermin Loose Powder Case Free Sponge Mini / Wadah Bedak Tabur
Rp12.646 | FR-C365 Stand Hp Phone Holder / Penyangga Hp di Meja / Sandaran Hp Untuk Nonton / Dudukan Handphone di Meja
Rp2.711"
Makarizo,Kab. Gresik,https://www.lazada.co.id/lazada8834025360_makarizo-127992466/?type=brand,-,2,Kecantikan | Lainnya,"Makarizo Hair Energy Scentsations Hair Fragrance Morning Dew 100 mL Parfum Rambut
Rp29.700 | Makarizo Barber Face Wash Acne Oil Control 2x100ml
Rp72.500"
Emeron,Kab. Gresik,https://www.lazada.co.id/emeron/?type=brand,-,2,Fashion Muslim | Lainnya,"[Paket isi 6] Emeron Shampoo Hijab Clean & Fresh Botol 170ml
Rp59.400 | [Paket isi 2] EMERON Shampoo Hair Fall Control Botol 170ML
Rp21.400"
SGM,Kab. Gresik,https://www.lazada.co.id/sgm/?type=brand,-,2,Lainnya,"SGM Eksplor 3+ dengan IronC Susu Bubuk Rasa Vanilla 3x900gr - Untuk Usia 3-5 Tahun
Rp
234.000
Rp
261.300
-10% | SGM Eksplor 5+ dengan IronC Susu Bubuk Rasa Madu 3x900gr - Untuk Usia 5-12 Tahun
Rp
214.200
Rp
253.500
-16%"
CELIN STORE88,Kab. Gresik,https://www.lazada.co.id/shop/inrcrms5/?itemId=18887700707&channelSource=pdp,-,1,Handphone & Aksesoris,"Promo Menarik termurah hp bisa kmu dapat kan jika beruntung undian berhadiah menarik berupa Jam tangan Beby gold Aksesoris
Rp29.999 -76%"
CHESTER,Kab. Gresik,https://www.lazada.co.id/lazada6932131_chester-127220624/?type=brand,-,1,Lainnya,"CHESTER Makanan Kucing 2 Pack Freshpack bukan 2KG Setara BOLT
Rp40.900 -18%"
AQUASEA,Kab. Gresik,https://www.lazada.co.id/aquasea-124362231/?type=brand,-,1,Rumah Tangga,"AQUASEA Tali Pancing Bass FLUOROCARBON 200M Hijau Lumut Bahan Nilon
Rp24.000"
ASB,Kab. Gresik,https://www.lazada.co.id/asb/?type=brand,-,1,Lainnya,"(ISI 10PC ) Bearing 6201 ZZ ASB ASLI LAKER LAHER
Rp44.417 -3%"
