Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Hcgh Bbh,5,2025-06-01T06:44:10.315Z,"Sangat luar biasa,cepat mudah"
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Zahwa al-Fatih,5,2025-06-01T06:35:59.240Z,
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Riski,5,2025-06-01T05:22:07.242Z,pelayanan cepat
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Nur Hasanah,5,2025-06-01T05:10:42.472Z,Pelayanan bagus dan cepat
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Ananda Priatama,5,2025-06-01T04:58:09.583Z,Bagus
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Lisa Imro'atus S.,5,2025-06-01T04:47:23.121Z,"Pelayanan baik dan cepat, hasil dokumen bisa ditunggu langsung jadi, dan petugas ramah. Terima kasih"
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Su Darmawan,5,2025-06-01T04:03:24.376Z,Pelayanan cepat
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,safira azzahra,3,2025-06-01T04:02:18.848Z,bagus
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Rozikin Riski,5,2025-06-01T03:54:17.752Z,Pelayanan sangatt ramah dan prosesnya cepat😊
Dinas Kependudukan dan Pencatatan Sipil Kabupaten Gresik,4.4,1349,Fitrotul Hidayah,5,2025-06-01T03:54:12.249Z,"Pelayanannya super cepat,petugasnya sangat ramah☺️"
Kantor Bupati Gresik,4.3,116,Afif Machrus,4,2026-07-05T02:24:18.840Z,Gressiik
Kantor Bupati Gresik,4.3,116,rienz Rini,4,2026-07-04T03:28:08.779Z,
Kantor Bupati Gresik,4.3,116,Shubkhi Basyar,5,2026-07-01T22:49:28.291Z,Hari bhayangkara 80
