url_produk,nama_produk,harga,lokasi_seller,rating_produk,terjual,badge,nama_toko,url_toko,rating_toko,kategori_web,sub_kategori
https://www.tokopedia.com/merdeka-store-gresik,"merdeka store gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/merdeka-store-gresik/iphone-13-128-garansi-resmi-smartphone-1731798249420785447,Rp 7.700.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/distributor-gresik,"DISTRIBUTOR GRESIK
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/petrokimia-gresik,"Petrokimia Gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/mulia-motor---gresik-jawa-timur,"MULIA MOTOR - GRESIK JAWA TIMUR
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/vina-cimory-gresik,"Vina Cimory gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/melly-homecredit-gresik,"melly homecredit gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/agenpetis-gresik,"AgenPetis Gresik_NEW
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/toyota-gresik-manyar,"Toyota Gresik Manyar
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/antasena-farm-gresik,"Antasena Farm Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/warta-gresik,"WARTA GRESIK
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/batik-gresik-sman-1-dukun,"Batik Gresik SMAN 1 Dukun
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/perlindungan-kekayaan-intelektual,Hak Kekayaan Intelektual,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/careers,careers,-,Kab. Gresik,-,-,-,-,-,-,,
https://affiliate.tokopedia.com,Tokopedia Affiliate Program,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/partner,Tokopedia B2B Digital,-,Kab. Gresik,-,-,-,-,-,-,,
https://marketingsolutions.tokopedia.com,Tokopedia Marketing Solutions,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/blog/bmi,Kalkulator Indeks Masa Tubuh,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/discovery/tokopedia-farma,Tokopedia Farma,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/discovery/deals,Promo Hari Ini,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/discovery/beli-lokal,Beli Lokal,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/discovery/promo-guncang,Promo Guncang,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/daftar-halaman,Tagihan & Top Up,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/discovery/bebas-ongkir,Bebas Ongkir,-,Kab. Gresik,-,-,-,-,-,-,,
https://seller.tokopedia.com/edu,Pusat Edukasi Seller,-,Kab. Gresik,-,-,-,-,-,-,,
https://seller.tokopedia.com/edu/official-store,Daftar Mall,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/terms,Syarat dan Ketentuan,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/privacy,Kebijakan Privasi,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/masjams-toyota-gresik,"Masjams Toyota Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/queen-parfum-gresik,"queen Parfum gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/zamzam-parfume-gresik,"ZamZam Parfume Gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/zamzam-parfume-gresik/parfum-laundry-pewangi-baju-tahan-lama-dan-anti-bau-1732772244481999983,Rp 21.250,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/mk-skin-store-gresik-kota,"MK SKIN STORE GRESIK KOTA
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/mk-skin-store-gresik-kota/retinal-advance-serum-mk-skin-store-gresik-kota-1732240977591568202,Rp 250.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/mk-skin-store-gresik-kota/vitacomplex-serum-mk-skin-multivitamin-microbiome-repair-serum-1732239982275495754,Rp 150.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/mk-skin-store-gresik-kota/serum-whitening-mk-skin-menutrisi-kulit-membuat-kulit-lebih-cerah-dan-glowing-1732239967951619914,Rp 150.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/grosir-sembako-gresik,"Grosir sembako gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/grosir-sembako-gresik/sabun-lervia-murah-90gram-mandi-soap-mencerahkan-1732643606600320337,Rp 3.990,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/grosir-sembako-gresik/gula-rose-brand-1kg-sugar-1732643306782426449,Rp 23.990,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/grosir-sembako-gresik/soklin-cair-liquid-ready-warna-ungu-dan-pink-1732725915172177233,Rp 24.900,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/pt-petrosida-gresik,"PT Petrosida Gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/cemal-cemil-gresik,"Cemal Cemil Gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/adopsi-kucing-mini-gresik,"Adopsi kucing mini gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/adopsi-kucing-mini-gresik/kitten-munckhin-persia-telinga-ikal-1733820017878337163,Rp 2.000.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/adopsi-kucing-mini-gresik/kucing-kitten-munckhin-persia-dengan-bulu-lembut-dan-warna-oren-putih-ideal-untuk-peliharaan-rumah-1733820088097474187,Rp 2.000.000,-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/go-fresh-gresik,"GO FRESH GRESIK
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/toko-keramik-lengkap-gresik,"toko keramik lengkap gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/myrep-gresik,"myrep gresik
Kab. Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/gresiksecondjersey,"gresiksecondjersey
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
https://www.tokopedia.com/biya-agus-chatour-gresik,"Biya Agus Chatour Gresik
Lihat Toko",-,Kab. Gresik,-,-,-,-,-,-,,
