url_produk,nama_produk,harga,lokasi_seller,rating_produk,terjual,badge,nama_toko,url_toko,rating_toko
https://www.lazada.co.id/products/pdp-i329659363-s336344790.html,"Headset Samsung original 100% Hedset super bass / Full Bass GH59 Earphone Handsfree Hedset samsung ori A50 J7 Prime A03 A02 A04 j2 prime
Rp16.500 -48%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7961688790-s14375918797.html,"Toilet Cleaner pembersih kerak membandel kamar mandi / kloset / wastafel / keramik / alat dapur anti bakteri 1 liter
Rp13.500 -66%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i420163983-s474881400.html,"2 Pcs (Sepasang) Gelang Kokka Tasbih Marjan 33 Butir - Kaukah Kauka Kaoka Koka Kaokah - Mardjan Santri Pondok Sekolah Tasbeh Tasbeeh Cokelat Hitam
Rp12.800 -63%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i6265032019-s11896494398.html,"(FREE BUBBLE WRAP) MINYAK TAWON DD 30ML / MINYAK TAWON GOSOK URUT PIJAT - ZEE1
Rp11.990 -29%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i5101588873-s9459462312.html,"Close Up White Fresh Lemon Sea Salt 95g
Rp15.500",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8287114586-s14696786069.html,"1 SET ISI 4 BUKU SANK MAGIC PRACTICE BOOK Buku Belajar Menulis Angka Dan Huruf Anak
Rp11.500 -39%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8150956336-s14550570931.html,"Remote TV Samsung LCD LED
Rp10.400 -31%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7952754706-s14365462254.html,"CETAK FOTO UKURAN 2R 100 FOTO (COD)
Rp5.900",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7989270489-s14596100270.html,"Kemeja Pria Panjang Buat Kuliah Kerja Polos Putih
Rp28.999 -42%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8317458683-s16175084475.html,"Lipstik Batang Maybelline/Revlon Super Matte Tampilan Warna Merah
Rp9.999",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8408226887-s14849440953.html,"Gelang Kulit Anyaman Retro Punk dengan Manik-Manik Matahari dan Bulan Luminous - Hadiah Pasangan Unik
Rp15.000 -70%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i5619612228-s11065614880.html,"SEDAAP Mie Instan Goreng Isi 5 Bag 90GR
Rp15.800",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i1324606375-s2349886080.html,"YOURSTYLE1119 - Kaos Vneck Wanita lengan PENDEK / KAOS TRENDY / KAOS TERLARIS
Rp20.500 -66%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8203358316-s14611326007.html,"Remot Remote Set Top Box STB DVB T2 MATRIX Apple Merah
Rp10.500 -58%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i18889195976-s116287872837.html,"Set alat kecantikan satu paket perlengkapan wanita
Rp28.500 -68%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8615140993-s16020370986.html,"[BARU!] MamyPoko Pants X-Tra Kering ukuran XXXL (18-35kg), isi 30+2pcs - Popok Bayi
Rp85.900",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8287170012-s14696742695.html,"Kemoceng Microfiber 2.8m Tarik Tekuk Fleksibel Alat Tongkat Panjang Pembersih Langit Rumah
Rp17.650 -61%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i5527384189-s14478790814.html,"selahan mio sporty mio soul karbu fino karbu engkolan mio smile
Rp19.000 -65%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i5576678154-s11030412353.html,"NEO Coffee Instan Caramel Machiato 9x20gr
Rp10.600",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8675436008-s16143878941.html,"PARFUM REFFIL 50ML PARFUM UNISEX PARFUM GENERASII BEBAS PILIH AROMA
Rp20.000 -50%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7120906380-s13424480319.html,"CHARGER / CASAN MICKRO USB OPPO 65W ORI FLASH CHARGING KOMPITABEL BUAT SEMUA HP ANDROID
Rp21.257 -75%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8362384042-s14788712162.html,"SCORA Sheer Glow Tone Up Cream 30 Gr Tone Up Viral Mencerahkan Secara Natural
Rp34.900",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i5708924231-s11159420075.html,"Vaseline Lip Therapy Original White / Pelembab bibir
Rp8.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i6292082947-s14321404154.html,"Lampu LED Motor H6 12 Mata AC DC Putih Jauh Dekat
Rp12.990 -57%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8014150715-s14437302467.html,"GATSBY Deodorant Nature Perfume Body Spray Relax Musk
Rp19.530",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8418510447-s14859520264.html,"SELE JELI STOBERY BLUEBERY NANAS 250GRM
Rp5.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8283590868-s14692308143.html,"Daily Hijab Bergo Sporty Non Pet Jilbab Instan Sporty Hamidah Malay Jersey Non Pad Menutup Dada
Rp16.800 -52%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7003984550-s14647008816.html,"2 PCS LEBIH MURAH LEM TIKUS SUPER KUAT DAN LENGKET TERLARIS CAP GAJAH
Rp12.000 -44%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8636894615-s16054152330.html,"Perlak Meteran Anti air Oscar Waterproof Perlak Bayi Alas Karpet Meja Alas Kasur Ibu Melahirkan
Rp50.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8320144111-s14737968205.html,"Lakban Bening - Lakban Cokelat Ekonomis 45 mm x 300 Yard Jumbo Master Pack Indonesia
Rp18.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7861342214-s14274246729.html,"[Paket Isi 4] POSH Spray Cologne Men Cool Blue Botol 150ML
Rp63.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8686866484-s16125068239.html,"GARNIER Color Natural Pewarna Rambut Sachet
Rp17.499",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i5883412015-s16024332507.html,"KAOS POLOS DEWASA LENGAN PANJANG UKURAN M-L-XL-XXL COTTON COMED
Rp20.500 -71%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i4293504208-s7311008383.html,"LEM LCD TOUCHSCREEN 15ML E8000 T7000 T5000 HIGH QUALITY - GLUE SERBA GUNA
Rp11.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8355424132-s14781074199.html,"Bolt Makanan Kucing 800 gram - Tuna ( Ungu )
Rp22.500 -10%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8014270135-s14437446731.html,"Headset Bluetooth Magnet Stereo Sport 4.1 Magnetik Extra Bass XT-11 Top Quality Wireless Earphone
Rp16.800 -50%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i5705170712-s16219778904.html,"Celana Shot Wanita Dewasa Legging Pendek Shortpants Spandek Premium
Rp6.000 -70%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7099346082-s13396568672.html,"BLACK MAGIC PREMIUM isi 100ml penghitam body motor permanen
Rp13.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i6268224450-s11900686521.html,"Minyak Goreng Renceng isi 10 pcs .. berisi 10 X 35 ml
Rp10.500 -48%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i6149132575-s11727726737.html,"Shevano - Sandal Jepit Anak Laki-laki Tali Belakang Model Keren - Andrian kids store
Rp12.950 -57%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i959458363-s8056728151.html,"DELVINFASHION (COD) SWITER HOODIE PRIA LENGAN PANJANG STARLHO/SWITER HOODIE PRIA TERBARU/SWITER PRIA TERLARIS
Rp56.999 -62%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i18856677458-s116271145118.html,"( PROMO )Celana Jeans Cutbray Wanita Dewasa Celana Jeans Jumbo Pinggang Full karet Terkini
Rp27.999 -72%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i5558538744-s13072104368.html,"Singlet Cowok Dewasa NY.02 Singlet Pria Distro Cutton Combed
Rp13.000 -19%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i5189030400-s9725300181.html,"(GROSIR : 10 SET) SLIDER SLIDE PIECE SET KLIP HONDA BEAT VARIO 110 FI
Rp22.655 -40%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8755780592-s16199636949.html,"CELANA PANJANG PRIA CARGO SUPER JUMBO CELANA CARGO PANTS PRIA JUMBO CELANA KOREAN STYLE PRIA PANJANG CARGO SUPER JUMBO
Rp33.300 -26%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i6039238268-s11602672338.html,"GADIS KRETEK (COVER BARU 2019) ISBN LAMA
Rp60.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8418424808-s16116412773.html,"Sandal Wanita Terbaru/Sendal Selop Jelly Alina 225 K5/Sendal Karet Import Kekinian
Rp39.500 -40%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8277332476-s14686048139.html,"Lem Botol - Lem Power Glue Botol Handsome - 1 Lembar Isi 12 Pcs
Rp22.980 -4%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8317438246-s14734012828.html,"SHAMPO ZING SASET 1RENCENG ISI 24 PICS HARGA MURAH POL
Rp17.500",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8244460752-s14650780606.html,"Tas Selempang Laki Laki Tapaxco Marsha Tas Slempang Pria Keren Local Brand FREE 2 PIN Random
Rp31.679 -68%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8160560868-s14561994046.html,"Collins Choco Crunchy 200gr ( Repack )
Rp15.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7714430069-s14198786110.html,"AGROPIN media tanam cocopeat murni agropin original TERLARIS no. 1 diindonesia mengembang 6x dari ukuran semula
Rp20.100 -20%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7337984138-s13739922552.html,"KR Tas Ransel Terbaru Style korea Tas karakter sapi cute Terlaris mini
Rp15.250 -56%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8747076310-s16187308702.html,"AmazeFan X20 Ultra Smartwatch 49mm BT Call
Rp79.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7343624742-s16189738460.html,"Sabun Muka/Pembersih Wajah Nivea men dark spot minimizer extra bright 10 Facial Foam 50ml
Rp10.000 -60%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i3623096427-s14413326380.html,"Nahda mikhayla Ecer krim Siang dan Malam Normal & Acne Kemasan Baru original 100% bpom dan halal
Rp40.000",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8622562168-s16070434387.html,"Handuk Dewasa JUMBO Polos/ Handuk Mandi Polos/Souvenir Handuk Ukuran 80cmx150cm & 70x140cm Termurah
Rp22.500 -42%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8186370327-s116260312866.html,"1 SET ISI (10 PCS) Hanger baju gantungan baju anti karat hanger pakaian dewasa
Rp24.800 -50%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i7447610368-s14078750116.html,"(ISI5PCS) Sabun Dettol Batang Bar Soap 60gr Dettol Sabun Batang 60Gr isi 5x60 Gr isi 5 Batang
Rp18.600 -21%",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8258406651-s14668546187.html,"[Paket isi 6] Mama Lemon Jeruk Nipis 950ml
Rp61.700",-,Kab. Gresik,-,-,-,-,-,-
https://www.lazada.co.id/products/pdp-i8655272133-s16085166520.html,"Mesin Potong Kayu 58CC 20inch Chainsaw 2Tak Untuk Gergaji Mesin Alat Outdoor Mesin Gergaji Mesin Gergaji Kayu Gergaji Potong Pohon Kayu
Rp932.160 -22%",-,Kab. Gresik,-,-,-,-,-,-
