shortcode,link_postingan,teks_asli,teks_bersih,sentimen,skor,topik
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,alannduk,alannduk,netral,0.81,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,vivindwi_oktav,vivindwi_oktav,netral,0.985,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,farel_adho,farel_adho,netral,0.989,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,p_anshorii,p_anshorii,netral,0.988,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,lewatkandangan,lewatkandangan,positif,0.86,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,rryaaannnx,rryaaannnx,positif,0.759,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,ibook.dyro,ibookdyro,positif,0.766,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,imanurlm,imanurlm,positif,0.655,umum
CGjNby3At3e,https://www.instagram.com/p/CGjNby3At3e/,harrik_08,harrik_08,netral,0.981,umum
DaCBvQHy0jI,https://www.instagram.com/p/DaCBvQHy0jI/,polsek_gresik_kota,polsek_gresik_kota,netral,0.997,umum
DaCBvQHy0jI,https://www.instagram.com/p/DaCBvQHy0jI/,ridwan_ntd_35,ridwan_ntd_35,netral,0.995,umum
DaCBvQHy0jI,https://www.instagram.com/p/DaCBvQHy0jI/,hepi_riza,hepi_riza,positif,0.94,umum
DaCBvQHy0jI,https://www.instagram.com/p/DaCBvQHy0jI/,koko937496,koko937496,netral,0.925,umum
DY4RdCuvDoa,https://www.instagram.com/p/DY4RdCuvDoa/,gresik_info_loker,gresik_info_loker,netral,0.997,umum
DY4RdCuvDoa,https://www.instagram.com/p/DY4RdCuvDoa/,budiningtias,budiningtias,netral,0.786,umum
DY4RdCuvDoa,https://www.instagram.com/p/DY4RdCuvDoa/,cv.suksesku,cvsuksesku,positif,0.915,umum
DZYtiy4yrsO,https://www.instagram.com/p/DZYtiy4yrsO/,apotekhidayah.suci,apotekhidayahsuci,netral,0.7,umum
DacKxgBjxXK,https://www.instagram.com/p/DacKxgBjxXK/,sintyamakeupartist,sintyamakeupartist,netral,0.77,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,inigresik,inigresik,netral,0.97,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,marsuo.mlvt,marsuomlvt,netral,0.488,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,amxccpp,amxccpp,positif,0.988,umum
DOhVWIfE1qf,https://www.instagram.com/p/DOhVWIfE1qf/,_4kmal.haq,_4kmalhaq,netral,0.901,umum
